,control_day3,covid_day3,chi
30274,30931.488475,11020.5848105,35973.05329561843
6757,4643.76276485,515.837036,33033.24428783707
23467,3626.040409355,340.548865746,31697.2269441571
7788,21776.718085,9317.215532,16661.54478610526
30272,13863.15765,4917.887139,16270.78097836075
26600,24269.077524999997,11569.5876785,13939.739845790782
26878,15582.435135000002,6463.943036500001,12863.185470679531
11521,9430.1003145,3526.279638,9884.383020751491
5199,10964.889508,4568.254344499999,8956.800197473043
25454,15615.159050999999,7464.72772,8899.12309907352
27469,15658.649884999999,7602.2683425,8537.620698744056
30585,4457.38118,1258.67742825,8128.933960216607
21741,17480.043680000002,9240.8741625,7346.048993241144
18369,7928.1076219999995,3276.4428295,6604.108927817344
8064,12141.79683,24540.852270000003,6264.516574761715
4177,4153.9858595,13209.613177,6207.93243637404
2792,683.47267865,62.89384364000001,6123.303461412822
978,2440.91536,573.9799649500001,6072.420610698703
25864,6969.5146315,2865.754932,5876.581937691082
29880,2760.2610765000004,718.76111625,5798.4801813501745
23378,8541.238218,3848.418638,5722.494791231021
2644,6443.7106095,2651.0648115,5425.8055429992855
8045,13124.2005365,7114.450462000001,5076.582675058726
21000,15321.571037500002,8712.679044,5013.091055136131
21977,8395.211983500001,3947.409409,5011.6280557634045
3539,5033.2085735,1946.0599124999999,4897.324483124871
21573,17957.748760000002,10941.921865,4498.46266751836
20790,14599.0117845,8443.770141500001,4486.976676154624
26351,1745.114803,405.2028243,4430.778866769486
15900,4487.221179,1759.9175030000001,4226.439778253125
17776,7971.944047,3923.9678995000004,4175.903399417944
331,5747.696706,13111.278221499999,4135.548938813529
30154,3540.319035,1272.4383054999998,4042.068665338096
30628,3318.971006,1159.8672105,4019.1921605688894
22334,5418.3374195,2476.4135325,3494.9397761382106
29830,1358.378088,5856.221211,3454.5472293837497
16540,7099.132896,3622.6750855,3336.142111270347
15752,5480.9134125,11531.0797635,3174.421964423406
124,16832.430659999998,10940.1358225,3173.5564361663687
21759,182.53178288,9.53648302,3138.1981922357913
5135,52.83572241,0.866953002,3115.224225017306
17137,3656.5750230000003,1498.8411740000001,3106.2766648551883
24657,8069.431568,4398.031312499999,3064.8212525852664
16246,2052.5475539999998,653.2308848,2997.542195667141
15812,2427.9621045,846.7073038,2953.0473323133237
25766,6681.3749635,3481.6582049999997,2940.606668375063
22427,72.644436165,1.7339060035,2899.986087847352
26334,72.3245655315,1.7339060035,2873.8819766120137
30584,4507.222942,2078.4203669999997,2838.252570071468
12391,15973.347715,10528.4228445,2815.9209867674526
29616,1906.212673,603.2927030000001,2813.8918965588755
6060,3380.5439960000003,8156.4627335000005,2796.4818245930865
24415,50.06065758,0.866953002,2791.4091819564837
16609,8031.8283200000005,4497.9609695,2776.417700289228
31536,1957.3912874,639.3203236400001,2717.434439774655
19849,2731.072387,1048.2603348500002,2701.4819780112316
27473,5819.540217,2985.2654365,2690.921026036648
1417,11741.890718999999,7339.1587385,2641.1813101182784
20750,1700.8377915,536.83378095,2523.8824095212426
1546,7553.220569499999,4293.930555,2473.9504429687745
19804,7418.71501,4281.208739,2299.337920828328
21760,3755.6618975,1765.1547495,2244.6296605787165
12189,3284.1343065,1481.542303,2193.2130621599567
13590,62.936031231499996,1.7339060035,2160.2671222447225
23905,9514.277723000001,5944.45676,2143.782387925765
23392,3153.922445,1414.00791495,2140.9375010366616
61,3968.4657935,1944.3924040000002,2107.0196929662648
30470,854.457553,205.31730190000002,2052.350492134394
23631,3307.9341784999997,1547.4083065,2002.9951583960685
8102,3393.9900015,1609.7045719,1977.8004920027252
28712,2141.3697985,848.2906501000001,1971.0858345895472
19608,60.09469577,1.7339060035,1964.3404978669082
6552,1566.3782474999998,539.514142,1954.4434688133063
14304,4656.678862000001,2466.8461805,1943.9263018797221
25847,1313.216294,418.7822731,1910.3297086128302
25858,3116.045556,1451.3888204999998,1909.2623616122983
11704,2527.3631295,1094.15555065,1877.3235330687846
28710,4754.610108,2562.193247,1876.0066977871834
30483,2810.0537275,1269.32868995,1870.1488906131613
25870,2569.769986,1130.669503,1831.6671623987654
16367,785.07805085,193.13132665,1814.3142822506513
18308,4630.8070984999995,2510.7203515,1790.2303664044837
15811,2880.7039400000003,1334.8944505,1790.0493757639242
21058,7571.3349315,4683.0503375,1781.357725142698
31296,816.8111703999999,3168.6872962,1745.619177298237
29333,2669.6146074999997,5843.882642500001,1724.1923177485792
5157,39.260099545,0.866953002,1700.24637791412
7221,7868.5752545,4964.177831999999,1699.2792509260466
20757,44.138793324999995,1784.6336705899998,1697.4477550814183
2341,575.4642172,2680.38396,1653.0046402863934
23384,1182.1773615000002,386.52358375000006,1637.8429691299439
26441,2357.162063,1055.53639115,1605.0885633351893
17694,3181.7452125,1597.7177895,1570.4543651612266
25370,2094.2772969999996,906.0314091,1558.365721022616
25846,2854.9445484999997,1390.2644115,1543.0790617791322
4106,7322.7809985,4651.2704105,1534.412793047846
6506,1767.6554474999998,4350.525666,1533.4281596706335
15306,117.149201375,7.802577015,1532.4019533470696
28990,4629.524735,2626.741494,1527.040525149775
31714,632.97109175,2635.5167355,1521.5949879146958
29602,1341.6787165,497.14847570000006,1434.64450257331
2555,7546.8002344999995,4905.5608,1422.0893461065402
20640,3040.496395,1555.9403815,1416.4466604397414
17714,621.5423178499999,2499.9540585000004,1411.3982036649352
30447,2086.926121,4643.2191325,1407.3498954432
4126,3204.170432,1673.02767,1401.2907255891282
4131,2264.9307755,1051.3344213,1400.9016361381562
9163,72.615622825,3.467812007,1378.800157352912
27300,4486.431694000001,2604.9040055,1359.0314403592158
15794,3007.2244305,1559.3642205,1344.3294133227444
4142,1152.36630405,413.67782155000003,1319.0474464732704
23910,595.3593279500001,2351.9875749999997,1311.9724062887344
21685,5562.9692625,3459.7543185,1278.562780314056
21919,1451.8946205000002,591.2526273999999,1252.771837216771
27852,2371.6568740000002,1164.1711065,1252.412012782646
23771,1708.9986645,744.0131240999999,1251.5869183188245
4748,709.69024455,2454.0672875,1239.921693863085
6301,777.8363656500001,236.52760999999998,1238.8201484949327
26389,3540.5612375,1977.8940074999998,1234.6105819908926
16700,1431.7717559999999,585.2681183,1224.3421198487872
7006,185.92065695,1569.85094285,1220.0285924943767
2902,2988.614522,1594.7989225000001,1218.1610471394981
29035,1943.7696055000001,898.3793916000001,1216.4578902144622
24378,4768.1339095,2914.529702,1178.8689460615094
18571,776.9373044000001,242.87497575,1174.3596473959124
15009,3818.5230139999994,2212.679267,1165.4351257492929
43,972.5980608500001,342.65407295,1158.1050955412422
19596,2084.8513055,1010.2780662999999,1142.9602254295528
2313,102.222062765,7.802577015,1142.5762632212165
14880,1225.8031922,484.4406397,1134.5423756967996
30438,867.6701279499999,2568.0868996,1125.9031763134535
21663,528.5820107500001,137.434037435,1113.2375929855987
30859,4473.4237365,2735.4286275,1104.2609441682177
21633,2274.4836315,1154.04170535,1087.820400298258
23526,114.40006854100001,10.076108096999999,1080.128221923469
2610,5124.3823265,3252.795717,1076.8694813980862
3410,44.80446654000001,1.7339060035,1069.8810553650128
27064,1189.3095560000002,476.96073070000006,1063.90487988719
10975,753.93276585,245.1307424,1056.0874435095511
11578,4129.747982999999,2509.6588654999996,1045.8348681261948
24267,598.1459181,173.24004085,1042.1667163996865
9149,2108.688635,1058.7610368,1041.1678586074129
29617,3138.502641,1779.127924,1038.6547230759056
4178,2653.3331575,1434.66422775,1035.1927173002664
25015,433.78027595000003,1796.2144985,1033.4105488657056
15080,836.42395355,290.63689285,1024.9335956852715
1871,43.813160045,1.7339060035,1021.199313639203
8049,62.927387249999995,3.467812007,1019.5019455903216
30566,2242.0127195,1164.8697358,996.0229643508767
26152,30.25194384,0.866953002,995.991345041036
1096,4478.319718500001,2807.868274,993.7816721213253
16927,627.79273945,2050.4926585000003,987.1164626093087
30488,1632.3544689999999,764.05496945,986.7667263017761
