,control_day1,covid_day1,chi,control_day3,covid_day3,chi,control_day7,covid_day7,chi,control_day14,covid_day14,chi
1,,,,,,,,,,0.29949070699999997,2.1239626385,1.567211102725497
3,,,,,,,,,,0.7112904295,3.4725836464999995,2.195696635827663
7,,,,,,,,,,0.18718169199999998,1.3935014220000002,1.0442811668600316
8,,,,,,,,,,1.7220715665000002,6.630201271000001,3.6333342249445653
11,,,,,,,455.3941208,277.42738735,114.16377639351815,,,
12,,,,,,,577.63287215,322.08279595,202.76103619009777,,,
13,69.262444435,142.17443585,37.39180296596925,,,,,,,,,
14,,,,4.1669192445,1.7339060035,3.4139990397013023,,,,5.12877836,10.878026156499999,3.0385889636613226
15,146.6920677,49.140381175,193.65603840112794,,,,,,,,,
16,,,,,,,5.654950174,0.256661294,113.54077733252468,1.4225808594999998,5.0345372059999995,2.5913461585850532
19,7.334603385,1.9823749459999997,14.450520231322773,,,,2.2687487085,13.637254410999999,9.477195189929569,,,
27,122.23017512499999,51.710585820000006,96.17010515132213,,,,13.722194388,42.042323105,19.07672153473519,,,
28,,,,,,,,,,0.561545076,2.2138238565,1.2331718083509444
31,40.75660633,6.914860258000001,165.62356063186357,1.043170477,5.20171801,3.32457806266595,,,,85.56875848,39.353538615,54.27330355385605
32,482.45831639999994,1265.3134795,484.35602427511145,,,,703.2636916499999,180.72977260000002,1510.773198182798,,,
37,,,,17.71949145,54.012016465,24.386191410163654,53.985489815,16.912752593,81.26340390625167,90.79757498999999,26.2607850825,158.60139894828643
38,,,,,,,,,,2.7391440825,0.977604664,3.1741063000179373
40,207.68160735,61.93982744499999,342.9242102545136,,,,,,,,,
41,,,,1467.97734465,869.7521782000001,411.46588504643785,2049.62025,665.1825659000001,2881.416019319292,,,
43,,,,972.5980608500001,342.65407295,1158.1050955412422,688.25074225,205.4914541,1134.1422022430215,,,
44,,,,1077.4799352999999,692.8142637999999,213.57481588061074,796.42184775,430.132247,311.9228389718811,,,
47,,,,209.95967922,44.966525325000006,605.4001423384195,23.539433543,4.1065807014999995,91.9586870462467,36.687923569999995,93.06099991500001,34.14882431417941
48,,,,881.3465973500001,436.90412419999996,452.1108888623502,791.3142553,522.96897285,137.6930455754289,187.5843403,89.56015339999999,107.28812817560602
49,,,,3.4724327039999996,13.216592185,7.184048857838175,1.6362065255,0.5133225875,2.4562884410738848,101.14321107,402.7983671125,225.90914114011352
52,,,,,,,1379.4645953,725.632199,589.1370353197352,218.7625188,144.09004535000003,38.69787310842117
53,,,,710.5547724,352.89384499999994,362.49240614731656,,,,,,
54,19.69109762,0.6660032164999999,543.4721756514027,,,,,,,10.719375542,22.464274105,6.140534148150231
55,,,,1462.810432,806.5310066,534.0187552354844,1381.8238695,627.7369097999999,905.8685795148853,,,
57,155.2557123,463.37704305,204.8844583198453,,,,,,,,,
58,27.171070885,1.3320064325,501.24176241952864,,,,,,,,,
59,,,,3.475314036,12.840631066,6.830595990305202,6.397194494,54.373034765,42.33130005813288,41.93561427,25.18295242,11.144510555384892
60,,,,,,,223.91291314999998,84.800844485,228.20725154074117,,,
61,,,,3968.4657935,1944.3924040000002,2107.0196929662648,3580.4823564999997,1487.665361,2944.1318534898955,25.107824185,11.687178686,15.411223739189175
70,,,,,,,,,,13.259067114,3.8658394155,22.82369160035474
71,116.8118185,283.0466063,97.63058118288072,,,,,,,,,
72,,,,,,,67.358146405,144.13477875,40.89680037920273,,,
73,,,,,,,,,,4.2803253365,2.2812448675,1.7518166411994172
74,227.5180748,106.35879182000001,138.01935506254338,,,,,,,,,
75,123.749956115,25.895951925000002,369.7645934680788,,,,,,,145.61066584999998,296.48725755,76.77815940932842
76,54.196771895,15.185178998,100.22301222538812,,,,13.1275816755,50.607450285,27.757583973791846,,,
77,,,,0.694486541,13.216592185,11.864111986254544,0.818103263,2.8232742325,1.4241303840205572,,,
80,,,,9.728574234,1.7339060035,36.86169837739189,21.649979545,8.72648399,19.139064204036288,,,
85,,,,1.3889730815,3.467812007,1.2461953731778501,,,,,,
86,3.938219524,1.6650080409999999,3.1035828771970833,,,,1.2271548945,31.569339145,29.1627309923307,,,
90,66.553266125,3.6395656354999995,1087.52914652101,7.293549342,4.334765009,2.0195800028444535,17.03662319,64.758027285,35.16679714123695,,,
91,,,,,,,,,,3.8310892755,1.0114155610000002,7.860824138775759
97,,,,,,,,,,0.449236061,2.5395582235,1.7205538753180216
100,3.938219524,18.119654661,11.099168626971998,7.296430676,31.210308065,18.323226114433595,,,,0.112309015,2.5284887065,2.3088591563052865
105,,,,,,,,,,9.309377441999999,4.4948679425,5.156881585242641
107,,,,,,,,,,54.920356185,34.835126165,11.580737874910733
113,,,,,,,18.97217921,6.67319364,22.667564319483496,,,
114,29.338413539999998,4.971572068,119.42760865185127,9.036969028000001,5.20171801,2.8277485136242615,6.2495628855,28.098278315,16.989167826145206,,,
118,,,,,,,0.818103263,2.3099516445,0.9634883910593347,42.859251905,24.048165915,14.714509097030836
120,,,,,,,50.624958989999996,18.222951865,57.6136113131609,62.894296265,31.656172635,30.825595348322956
121,,,,,,,,,,13.2464843525,7.7534163000000005,3.891677611764008
122,,,,,,,17.8208832565,10.00979046,6.0953494400655215,9.845757,24.307081619999998,8.60366180664588
123,69.94964999,218.5803338,101.06618370361457,128.86903264,78.662661635,32.04416983991498,,,,68.409708835,40.834692654,18.620968298335608
124,,,,16832.430659999998,10940.1358225,3173.5564361663687,13025.751475000001,3577.9513909999996,24947.495556188358,108.38573883,272.81686065,99.10528901536823
129,,,,,,,,,,12.154539160999999,5.29254939,8.896828380341034
131,,,,5.5587736585,0.866953002,25.391435316536445,28.2029782055,14.11637116,14.056905688099675,,,
134,,,,,,,11.7568814505,4.619903289,11.025437999753748,,,
139,508.651442,193.10643099,515.6154223494356,,,,224.7689459,572.4534113,211.16912764300577,,,
141,,,,0.694486541,8.66953002,7.336189890941796,,,,,,
143,13.585535445,43.130717526,20.238888529346458,,,,1.2271548945,7.075288499,4.833819378660811,,,
148,,,,,,,1814.9278215,967.2812838,742.8083897706834,,,
153,,,,16.342043701,0.866953002,276.23000507503446,,,,,,
158,,,,,,,,,,202.996776705,114.12745579999999,69.20119389988076
162,57.447785875,167.88591580000002,72.64802698435281,,,,201.17639075,43.900050805,563.4582797265899,31.3600046385,5.0116954355,138.52266299730425
