,Gene,Series10_FerretNW_Ctl_d1_1,Series10_FerretNW_Ctl_d1_2,Series10_FerretNW_SARS.CoV.2_d1_1,Series10_FerretNW_SARS.CoV.2_d1_2,Series11_FerretNW_Ctl_d3_1,Series11_FerretNW_Ctl_d3_2,Series11_FerretNW_SARS.CoV.2_d3_1,Series11_FerretNW_SARS.CoV.2_d3_2,Series12_FerretNW_Ctl_d7_1,Series12_FerretNW_Ctl_d7_2,Series12_FerretNW_SARS.CoV.2_d7_1,Series12_FerretNW_SARS.CoV.2_d7_2,Series12_FerretNW_IAV_d7_1,Series12_FerretNW_IAV_d7_2,Series13_FerretNW_Ctl_d14_1,Series13_FerretNW_Ctl_d14_2,Series13_FerretNW_SARS.CoV.2_d14_1,Series13_FerretNW_SARS.CoV.2_d14_2,Series14_FerretTrachea_Ctl_d3_1,Series14_FerretTrachea_Ctl_d3_2,Series14_FerretTrachea_Ctl_d3_3,Series14_FerretTrachea_Ctl_d3_4,Series14_FerretTrachea_IAV_d3_3,Series14_FerretTrachea_IAV_d3_5,Series14_FerretTrachea_IAV_d3_2,Series14_FerretTrachea_IAV_d3_1,Series14_FerretTrachea_IAV_d3_4,Series14_FerretTrachea_IAV_d3_6,Series14_FerretTrachea_SARS.CoV.2_d3_1,Series14_FerretTrachea_SARS.CoV.2_d3_2,Series14_FerretTrachea_SARS.CoV.2_d3_3,Series14_FerretTrachea_SARS.CoV.2_d3_4,Human_ID,Human_Gene
6215,ENSMPUG00000023324,28305.4631,28300.0455,144.80089030000002,375.625814,15411.800630000002,344.4653242,407.4679108,12516.1128,1.636206526,0.0,1.654852009,0.513322588,84192.87085,86068.83285,2485245.831,2170.783519,813.7716066,6840.114463,0.042409589000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
3744,ENSMPUG00000004371,308242.2137,149510.566,65827.80107999999,76008.28307,188765.8705,94541.84177,25295.954690000002,213117.549,27320.558460000004,20717.021569999997,16714.00529,16166.581580000002,1410751.029,545337.2824,1440594.5480000002,2973.86785,2015.214028,8307.819956,757.4069825,1688.144791,762.6961056,460.2637459,362.1188602,515.2384467,421.0090805,348.5252404,329.03523839999997,427.61424810000005,303.87553060000005,458.2189053999999,380.3209091,473.9559312,ENSG00000099956,SMARCB1
25656,ENSMPUG00000020575,47698.81494,24605.995590000002,1774.4690920000003,7154.872553,24201.55507,4412.7674799999995,2191.6571879999997,23631.26683,2363.5003260000003,63.25421828,191.96283300000002,54.92551688,379000.649,161992.7215,1114232.365,2062.517628,774.465157,5016.720769,20.08800855,29.10594468,30.83676977,14.12574156,9.579864026000001,14.10324215,5.062233433,6.454171119,5.48392064,19.49609034,0.520334813,12.58436412,2.690949828,14.42659056,ENSG00000132405,TBC1D14
20758,ENSMPUG00000008695,196.9902639,1063.319272,3.9491151889999996,13.32006433,25.03609145,6.944865407999999,154.3176343,1361.3089949999999,53.99481535,107.53217109999999,193.61768500000002,2841.240523,303.8823334,277.83282510000004,7.362687844,218.2538529,114.0763512,57.31468621,8.425371637000001,3.2339938530000003,4.1115693030000005,2.35429026,9.579864026000001,14.10324215,8.437055722,7.376195564,13.16140954,12.99739356,15.08970957,16.28564769,31.842906300000003,30.97473857,,
7576,ENSMPUG00000020795,160329.6965,72668.02666,71257.83447,62765.47512,92881.81295,75155.94447,24772.31507,226287.8831,76504.92663,15260.7127,13184.20595,11526.14538,2233943.82,1164632.044,978239.8391,4323.44785,2966.457077,9697.420142,649.4321695,2095.628017,774.0029212000001,513.2352768000001,396.6063707,704.2218916,194.0522816,318.0984337,303.8092034,597.8801037000001,190.4425414,547.7899676,138.1354245,232.9470065,,
18725,ENSMPUG00000018689,0.0,259.9224886,0.0,1.3320064329999999,4.172681909,1.388973082,0.0,0.0,0.0,26.56677168,0.0,0.513322588,3.492900384,5.394812138,0.0,2.171307627,2.090051351,1.685726065,4.52368947,42.04192009,2.0557846509999997,7.062870781,6.705904818,4.701080718,9.280761294,6.454171119,3.2903523839999997,0.0,3.6423436889999996,7.032438774,1.345474914,5.091737846,,
689,ENSMPUG00000021554,19821.29621,6923.389923000001,4937.710358,5563.124865999999,13502.798659999999,7457.396475,2729.16805,17353.38554,8358.561037000001,1821.721486,2133.1042390000002,1293.5729210000002,91374.27404,80460.92563,884877.2759,602.5753030000001,438.6410996999999,1217.6561279999999,72.5628064,536.8429797,95.59398628,55.32582112,36.4034833,70.51621077,23.62375602,30.426806699999997,27.4196032,70.18592522,18.73205326,64.77246239,13.0062575,28.00455815,,
331,ENSMPUG00000013786,5196.467307,7049.412948,1786.3164370000002,2404.271611,8228.528724,3266.864688,4428.395933,21794.160509999998,3664.284514,4685.87249,5691.036059,19330.188680000003,8777.658665,6935.031003,11467.38632,13399.28911,10216.23842,17947.92541,3866.369117,18553.42274,4308.924629,6803.898853,3270.565578,2815.94735,3647.3391890000003,3607.8816549999997,3903.454711,2756.7471739999996,3510.6989810000005,6258.130252,2547.432504,2614.183073,,
17730,ENSMPUG00000009203,1100.4283710000002,0.0,43.44026708,26.64012865,348.4189394,273.62769710000003,215.0043444,99.12444138,32.72413051,404.826997,11.58396406,36.95922631,20.957402300000002,72.82996386,7.362687844,3.968251871,3.5733135999999996,7.3048129479999995,0.26859406199999997,6.467987707000001,0.0,1.17714513,0.0,0.0,0.0,0.0,0.0,0.0,0.520334813,0.0,2.690949828,0.42431148700000004,ENSG00000174428,GTF2IRD2B
9167,ENSMPUG00000015282,1562.336576,1646.175761,400.1770058,109.2245275,1230.9411630000002,404.1911667,988.3264220000001,482.4056147,386.14474010000004,474.4066371,637.1180234,118.57751780000001,3.492900384,10.78962428,1089.677801,429.24505610000006,751.4745922000001,3440.00499,5.527383071,54.97789551,4.1115693030000005,17.65717695,4.7899320130000005,6.581513005,1.6874111440000001,3.688097782,6.5807047679999995,3.899218068,5.72368294,5.551925347999999,12.10927423,9.334852717999999,ENSG00000169344,UMOD
16577,ENSMPUG00000014975,3511.8609119999996,1417.7590289999998,1084.690305,8.658041812999999,1331.085529,566.7010173,1756.446782,0.0,1307.3290140000001,2244.259665,764.5416281,0.0,3.492900384,48.55330924,40.49478314,3.6687611639999997,1.483262249,7.3048129479999995,4.142003171,265.187496,5.139461628,43.55436982,0.0,22.56518745,20.24893373,18.44048891,1.096784128,32.4934839,19.77272288,34.79206551,17.49117388,27.58024667,ENSG00000124209,RAB22A
25917,ENSMPUG00000001696,54.34214177,39.38219524,0.0,0.666003216,0.0,6.944865407999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.45075138,0.898472122,1.280999215,1.123817377,0.46650547700000006,0.0,0.0,0.0,0.9579864029999999,0.0,0.0,0.0,1.096784128,0.0,0.0,0.370128357,1.345474914,0.0,,
30271,ENSMPUG00000008364,3308.0778800000003,3568.026889,1416.415981,558.7766985000001,4243.617501,1270.9103699999998,2243.6743690000003,1215.926481,1193.612661,3823.084953,1985.8224109999999,964.5331423,782.4096860000001,1043.896149,4561.18512,848.0079375,1659.231089,4334.001713000001,3694.7799200000004,38529.80277,3946.0786380000004,8765.022640000001,2586.563287,3044.419873,2756.3861039999997,2550.319616,2273.633497,3735.450909,2095.388291,5879.859071,5154.0659049999995,9353.098112,ENSG00000148082,SHC3
28913,ENSMPUG00000022249,292.089012,63.01151239,0.0,9.990048245,146.04386680000002,38.89124628,0.0,118.9493297,57.2672284,99.94166488,218.44046519999998,12.83306469,681.1155748,1426.92781,19772.498209999998,2.620543688,0.33710505700000004,41.58124293,1.102649308,42.04192009,9.251030931,1.17714513,2.873959208,0.0,0.8437055720000001,0.9220244459999999,0.0,0.0,0.0,1.8506417830000002,0.0,5.9403608210000005,ENSG00000179709,NLRP8
8658,ENSMPUG00000003385,88.30598038,0.0,0.0,0.666003216,91.799002,0.0,31.21030806,26.43318437,11.45344568,0.0,9.929112052999999,39.52583925,62.87220691,35.0662789,69.94553452,223.2703222,60.94859423,54.50514276,37.405257299999995,19.40396312,60.64564721,10.59430617,12.45382323,54.53253633,35.43563403,35.95895338,21.93568256,64.9869678,11.96770069,17.025904399999998,8.072849485,10.60778718,ENSG00000075290,WNT8B
29769,ENSMPUG00000000813,2798.6203010000004,3591.656206,8528.772436,13952.101380000002,7590.108392,6057.311609,6226.456459,12602.02065,14768.4001,9014.991189,6947.068733,7176.763099,1107.249422,820.0114449,1391.5480029999999,1535.563729,1520.950594,1656.5068130000002,2694.0691269999998,2509.5792300000003,2976.776175,2124.74696,7622.697805,3002.110147,3259.234625,3504.6149179999998,8142.525366,2771.044307,5335.513169,4255.365715,4466.079732,4114.12418,,
21011,ENSMPUG00000016750,251.3324057,31.50575619,0.0,6.6600321639999995,0.0,2.777946163,15.60515403,13.21659218,21.27068483,2.530168731,41.37130022,941.4336258,1669.606383,1405.348562,25.76940746,16.24737087,15.57425362,11.80008245,75.68697944,365.4413054,96.62187861,178.92605980000002,136.9920556,90.26074979,79.30832379,88.51434677,100.9041398,70.18592522,86.37557891,100.674913,34.98234777,40.73390277,ENSG00000079337,RAPGEF3
